id_case,activity,enabled_time,start_time,end_time,role,resource,wip_wait,wip_start,wip_end,wip_activity,ro_total,ro_single,queue,prefix,relation_ships,attribute_object,attribute_event
item_3_0,Select,2026-03-19 21:13:38,2026-03-19 21:13:38,2026-03-19 21:22:43,Role Order 1,Pete,29,29,32,2,"[1.0, 0.0, 1.0, 1.0, 0.0]",1.0,0,['Select'],{'order_3'},{'Price': 545},{}
item_3_1,Pick Item,2026-03-19 21:18:15,2026-03-19 21:18:15,2026-03-19 21:24:43,Role Order 2,Bob,30,30,32,1,"[1.0, 0.0, 0.5, 1.0, 0.5]",1.0,0,"['Select', 'Pick Item']",{'order_3'},{'Price': 877},{}
item_5_0,Select,2026-03-19 21:21:01,2026-03-19 21:21:01,2026-03-19 21:28:15,Role Order 1,Sue,32,32,32,2,"[1.0, 0.0, 1.0, 1.0, 0.5]",1.0,0,['Select'],{'order_5'},{'Price': 379},{}
order_6,Place Order,2026-03-19 19:23:25,2026-03-19 21:13:38,2026-03-19 21:32:54,Role 1,Sue,7,29,32,2,"[1.0, 0.0, 1.0, 1.0, 0.0]",1.0,4,['Place Order'],"{'item_6_0', 'item_6_1'}",{},{}
item_5_1,Select,2026-03-19 21:21:01,2026-03-19 21:22:43,2026-03-19 21:34:08,Role Order 1,Pete,32,32,34,2,"[1.0, 0.0, 1.0, 1.0, 0.0]",1.0,0,['Select'],{'order_5'},{'Price': 798},{}
item_3_0,Pick Item,2026-03-19 21:22:43,2026-03-19 21:24:43,2026-03-19 21:38:01,Role Order 2,Bob,32,32,34,1,"[1.0, 0.0, 1.0, 1.0, 0.0]",1.0,0,"['Select', 'Pick Item']",{'order_3'},{'Price': 545},{}
item_6_1,Select,2026-03-19 21:32:54,2026-03-19 21:34:08,2026-03-19 21:42:10,Role Order 1,Pete,34,34,34,2,"[1.0, 0.0, 1.0, 1.0, 0.0]",1.0,0,['Select'],{'order_6'},{'Price': 842},{}
item_5_0,Pick Item,2026-03-19 21:28:15,2026-03-19 21:38:01,2026-03-19 21:46:27,Role Order 2,Bob,32,34,34,1,"[1.0, 0.0, 1.0, 1.0, 0.0]",1.0,0,"['Select', 'Pick Item']",{'order_5'},{'Price': 379},{}
order_7,Place Order,2026-03-19 19:26:20,2026-03-19 21:21:01,2026-03-19 21:47:13,Role 1,Pete,8,32,34,2,"[1.0, 0.0, 1.0, 1.0, 0.5]",1.0,5,['Place Order'],"{'item_7_0', 'item_7_1'}",{},{}
item_6_0,Select,2026-03-19 21:32:54,2026-03-19 21:32:54,2026-03-19 21:48:41,Role Order 1,Sue,34,34,36,2,"[1.0, 0.0, 1.0, 1.0, 0.0]",1.0,0,['Select'],{'order_6'},{'Price': 712},{}
item_5_1,Pick Item,2026-03-19 21:34:08,2026-03-19 21:46:27,2026-03-19 21:53:02,Role Order 2,Bob,34,34,36,1,"[1.0, 0.0, 0.5, 1.0, 0.0]",1.0,1,"['Select', 'Pick Item']",{'order_5'},{'Price': 798},{}
item_6_1,Pick Item,2026-03-19 21:42:10,2026-03-19 21:53:02,2026-03-19 21:56:54,Role Order 2,Bob,34,36,36,1,"[1.0, 0.0, 1.0, 1.0, 0.0]",1.0,1,"['Select', 'Pick Item']",{'order_6'},{'Price': 842},{}
item_7_0,Select,2026-03-19 21:47:13,2026-03-19 21:47:13,2026-03-19 21:58:24,Role Order 1,Pete,36,36,36,2,"[1.0, 0.0, 1.0, 1.0, 0.0]",1.0,0,['Select'],{'order_7'},{'Price': 615},{}
item_7_1,Select,2026-03-19 21:47:13,2026-03-19 21:48:41,2026-03-19 21:58:29,Role Order 1,Sue,36,36,36,2,"[1.0, 0.0, 1.0, 1.0, 0.0]",1.0,0,['Select'],{'order_7'},{'Price': 836},{}
item_6_0,Pick Item,2026-03-19 21:48:41,2026-03-19 21:56:54,2026-03-19 22:03:15,Role Order 2,Bob,36,36,36,1,"[1.0, 0.0, 1.0, 1.0, 0.0]",1.0,1,"['Select', 'Pick Item']",{'order_6'},{'Price': 712},{}
item_7_0,Pick Item,2026-03-19 21:58:24,2026-03-19 22:03:15,2026-03-19 22:14:10,Role Order 2,Bob,36,36,36,1,"[1.0, 0.0, 0.0, 1.0, 0.0]",1.0,0,"['Select', 'Pick Item']",{'order_7'},{'Price': 615},{}
item_7_1,Pick Item,2026-03-19 21:58:29,2026-03-19 22:14:10,2026-03-19 22:20:50,Role Order 2,Bob,36,36,36,1,"[1.0, 0.0, 0.0, 1.0, 0.0]",1.0,1,"['Select', 'Pick Item']",{'order_7'},{'Price': 836},{}
order_8,Place Order,2026-03-19 19:31:19,2026-03-19 21:32:54,2026-03-19 22:45:31,Role 1,Sue,9,34,36,2,"[1.0, 0.0, 1.0, 1.0, 0.0]",1.0,6,['Place Order'],"{'item_8_0', 'item_8_1'}",{},{}
item_8_1,Select,2026-03-19 22:45:31,2026-03-19 22:45:31,2026-03-19 22:53:44,Role Order 1,Sue,38,38,38,2,"[1.0, 0.0, 1.0, 0.0, 0.0]",1.0,0,['Select'],{'order_8'},{'Price': 909},{}
item_8_0,Select,2026-03-19 22:45:31,2026-03-19 22:45:31,2026-03-19 22:57:24,Role Order 1,Pete,38,38,38,2,"[1.0, 0.0, 1.0, 0.0, 0.0]",1.0,0,['Select'],{'order_8'},{'Price': 275},{}
order_0,Add Item,2026-03-19 19:35:10,2026-03-19 21:47:13,2026-03-19 23:02:54,Role 1,Pete,9,36,38,1,"[1.0, 0.0, 1.0, 1.0, 0.0]",1.0,7,"['Place Order', 'Add Item']","{'item_0_2', 'item_0_1', 'item_0_0'}",{},{}
item_8_1,Pick Item,2026-03-19 22:53:44,2026-03-19 22:53:44,2026-03-19 23:06:34,Role Order 2,Bob,38,38,39,1,"[1.0, 0.0, 0.5, 1.0, 0.0]",1.0,0,"['Select', 'Pick Item']",{'order_8'},{'Price': 909},{}
